raw_affiliation,canonical_affiliation,country,region,source,confidence
Guangdong University of Technology,Guangdong University of Technology,China,China,university_dataset,1.0
McGill University,McGill University,Canada,Canada,manual_substring,0.9
Facebook,Meta AI,United States,United States,manual_substring,0.9
Mila,Mila - Quebec AI Institute,Canada,Canada,manual_substring,0.9
Meta,Meta AI,United States,United States,manual_substring,0.9
Peking University,Peking University,China,China,university_dataset,1.0
Kyoto University,Kyoto University,Japan,Asia-Pacific (excl. China),manual_substring,0.9
"University of Maryland, Baltimore County",University of Maryland,United States,United States,manual_substring,0.9
Booz Allen Hamilton,Allen County Community College,United States,United States,university_dataset,0.855
Laboratory for Physical Sciences,National Institute of Applied Sciences of Toulouse,France,Europe,university_dataset,0.855
Johns Hopkins University,Johns Hopkins University,United States,United States,manual_substring,0.9
East China Normal University,East China Normal University,China,China,university_dataset,1.0
"University of California, San Diego","University of California, San Diego",United States,United States,university_dataset,1.0
Microsoft,Microsoft,United States,United States,manual_substring,0.9
Microsoft Research,Microsoft,United States,United States,manual_substring,0.9
Massachusetts Institute of Technology,Massachusetts Institute of Technology,United States,United States,university_dataset,1.0
Technische Universität München,Technische Universität München,Germany,Europe,university_dataset,1.0
Swiss Federal Institute of Technology,Jami Institute of Technology,Iran,Middle East & Africa,university_dataset,0.8568627450980391
University of Helsinki,University of Helsinki,Finland,Europe,manual_substring,0.9
Università degli Studi di Genova,Università eCampus,Italy,Europe,university_dataset,0.855
"University of Texas, Austin",Austin College,United States,United States,university_dataset,0.9
University of Amsterdam,University of Amsterdam,Netherlands,Europe,university_dataset,1.0
VU Amsterdam,Vrije Universiteit Amsterdam,Netherlands,Europe,manual_substring,0.9
Applied AI Institute,Engineering Institute of Technology,Australia,Asia-Pacific (excl. China),university_dataset,0.855
CrownShy,CrownShy,Unknown,Other/Unknown,unknown,0.0
University of Cambridge,University of Cambridge,United Kingdom,Europe,manual_substring,0.9
The University of Hong Kong,The University of Hong Kong,Hong Kong,China,university_dataset,1.0
"The Wharton School, University of Pennsylvania",University of Pennsylvania,United States,United States,manual_substring,0.9
University of Pennsylvania,University of Pennsylvania,United States,United States,manual_substring,0.9
Deakin University,Deakin University,Australia,Asia-Pacific (excl. China),university_dataset,1.0
Northeastern University,Northeastern University,China,China,university_dataset,1.0
"University of Maryland, College Park",University of Maryland,United States,United States,manual_substring,0.9
Swarthmore College,Swarthmore College,United States,United States,university_dataset,1.0
Columbia University,Columbia University,United States,United States,manual_substring,0.9
"Institute for Advanced Study, Princeton",Princeton University,United States,United States,university_dataset,0.9
University of Washington,University of Washington,United States,United States,university_dataset,1.0
"Electrical Engineering & Computer Science Department, University of California Berkeley","University of California, Berkeley",United States,United States,university_dataset,0.9850746268656717
University of Connecticut,University of Connecticut,United States,United States,university_dataset,1.0
Seoul National University,Seoul National University,"Korea, Republic of",Other/Unknown,university_dataset,1.0
Purdue University,Purdue University,United States,United States,manual_substring,0.9
Shanghai Jiao Tong University,Shanghai Jiao Tong University,China,China,university_dataset,1.0
Huawei Technologies Ltd.,Huawei,China,China,manual_substring,0.9
"Department of Computer Science and Engineering, Hong Kong University of Science and Technology",University of Science and Technology,Sudan,Other/Unknown,university_dataset,0.9
Indiana University,Indiana University,United States,United States,university_dataset,1.0
California Institute of Technology,California Institute of Technology,United States,United States,university_dataset,1.0
University of Montreal,University of Montana,United States,United States,university_dataset,0.8837209302325582
Charm Therapeutics,Charm Therapeutics,Unknown,Other/Unknown,unknown,0.0
"Department of Computer Science, University of Toronto",University of Toronto,Canada,Canada,university_dataset,0.9
Cornell University,Cornell University,United States,United States,manual_substring,0.9
PAL Robotics,PAL Robotics,Unknown,Other/Unknown,unknown,0.0
Freie Universität Berlin,Freie Universität Berlin,Germany,Europe,university_dataset,1.0
Harvard University,Harvard University,United States,United States,manual_substring,0.9
"University of California, San Francisco","University of California, San Francisco",United States,United States,university_dataset,1.0
Florida State University,Florida State University,United States,United States,university_dataset,1.0
INRIA,Inria,France,Europe,manual_exact,1.0
Stanford University,Stanford University,United States,United States,university_dataset,1.0
MPI-SWS,MPI-SWS,Unknown,Other/Unknown,unknown,0.0
VISA,VISA,Unknown,Other/Unknown,unknown,0.0
"Technion - Israel Institute of Technology, Technion",Technion - Israel Institute of Technology,Israel,Middle East & Africa,university_dataset,0.93855421686747
EPFL - EPF Lausanne,EPFL - EPF Lausanne,Switzerland,Europe,university_dataset,1.0
University of Vienna,University of Siena,Italy,Europe,university_dataset,0.923076923076923
Université Toulouse III - Paul Sabatier,Concordia College - Seward,United States,United States,university_dataset,0.855
Chennai Mathematical Institute,National Institute of Applied Sciences of Toulouse,France,Europe,university_dataset,0.855
Indian Institute of Technology Madras,"Indian Institute of Technology, Madras",India,Asia-Pacific (excl. China),university_dataset,0.9866666666666667
Princeton University,Princeton University,United States,United States,manual_substring,0.9
Paderborn University,Universität Paderborn,Germany,Europe,university_dataset,0.8804878048780488
Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Germany,Europe,university_dataset,1.0
Tencent Youtu Lab,Tencent,China,China,manual_substring,0.9
Zhejiang University,Zhejiang University,China,China,university_dataset,1.0
NJUST,NJUST,Unknown,Other/Unknown,unknown,0.0
Hangzhou Dianzi University,Regent University College of Science and Technology,Ghana,Middle East & Africa,university_dataset,0.855
Nanjing University,Nanjing University,China,China,university_dataset,1.0
Tel Aviv University,Tel Aviv University,Israel,Middle East & Africa,university_dataset,1.0
Meta inc.,Meta AI,United States,United States,manual_substring,0.9
"School of Engineering and Applied Sciences, Harvard University",Harvard University,United States,United States,manual_substring,0.9
Mayo Clinic,Mayo Clinic,United States,United States,university_dataset,1.0
"Research, Microsoft",Microsoft,United States,United States,manual_substring,0.9
Sony Group Corporation,Sony AI,Japan,Asia-Pacific (excl. China),manual_substring,0.9
Universidad Autónoma de Madrid,Universidad Autónoma de Madrid,Spain,Europe,manual_substring,0.9
Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,China,China,university_dataset,1.0
BOSS Zhipin,BOSS Zhipin,Unknown,Other/Unknown,unknown,0.0
"HKUST Fok Ying Tung Research Institute, The Hong Kong University of Science and Technology (Guangzhou)",The Hong Kong University of Science and Technology,Hong Kong,China,university_dataset,0.9
Kanzhun Limited (BOSS Zhipin),Kanzhun Limited (BOSS Zhipin),Unknown,Other/Unknown,unknown,0.0
Fudan University,Fudan University,China,China,manual_substring,0.9
"Fudan University, Tsinghua University",Fudan University,China,China,manual_substring,0.9
"Department of Computer Science, University of Massachusetts, Amherst",University of Massachusetts Amherst,United States,United States,manual_substring,0.9
"College of Information and Computer Science, University of Massachusetts, Amherst",University of Massachusetts Amherst,United States,United States,manual_substring,0.9
The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,Hong Kong,China,university_dataset,1.0
NEC Laboratories America,Central America Health Sciences University (Belize Medical College),Belize,Other/Unknown,university_dataset,0.855
Phiar Technologies,Ecole pour l'Informatique et les nouvelles Technologies - Albania,Albania,Other/Unknown,university_dataset,0.855
"Meta Platforms, Inc.",Meta AI,United States,United States,manual_substring,0.9
University of Wisconsin-Madison,University of Wisconsin - Madison,United States,United States,manual_substring,0.9
Google Deepmind,Google DeepMind,United Kingdom,Europe,manual_substring,0.9
Rice University,Rice University,United States,United States,manual_substring,0.9
"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",Chinese Academy of Sciences,China,China,manual_substring,0.9
"Institute of Automation, Chinese Academy of Science",Regent University College of Science and Technology,Ghana,Middle East & Africa,university_dataset,0.855
National Chiao Tung University,National Yang Ming Chiao Tung University,Taiwan,China,manual_exact,1.0
"Institute of Automation, Chinese Academy of Sciences",Chinese Academy of Sciences,China,China,manual_substring,0.9
"Institute of automation, Chinese Academy of Science",Regent University College of Science and Technology,Ghana,Middle East & Africa,university_dataset,0.855
The Chinese University of Hong Kong,The Chinese University of Hong Kong,Hong Kong,China,university_dataset,1.0
Carnegie Mellon University,Carnegie Mellon University,United States,United States,university_dataset,1.0
Pomona College,Pomona College,United States,United States,university_dataset,1.0
Hong Kong Polytechnic University,The Hong Kong Polytechnic University,Hong Kong,China,manual_substring,0.9
Xi'an Jiaotong University,Xi'an Jiaotong University,China,China,manual_substring,0.9
Meituan,Meituan,China,China,manual_substring,0.9
"MemTensor (Shanghai) Technology Co., Ltd.",Engineering Institute of Technology,Australia,Asia-Pacific (excl. China),university_dataset,0.9
Alibaba Group,Alibaba Group,China,China,manual_substring,0.9
"Institute for Advanced Algorithms Research, Shanghai","Donghua University, Shanghai",China,China,university_dataset,0.9
The University of Tokyo,The University of Tokyo,Japan,Asia-Pacific (excl. China),manual_substring,0.9
Tokyo Institute of Technology,Tokyo Institute of Technology,Japan,Asia-Pacific (excl. China),manual_substring,0.9
Aarhus University,Aarhus University,Denmark,Europe,university_dataset,1.0
Samsung,Samsung Research,South Korea,Asia-Pacific (excl. China),manual_substring,0.9
University of Toronto,University of Toronto,Canada,Canada,university_dataset,1.0
National University of Singapore,National University of Singapore,Singapore,Asia-Pacific (excl. China),university_dataset,1.0
Sony,Sony AI,Japan,Asia-Pacific (excl. China),manual_substring,0.9
"Institute for Infocomm Research, A*STAR",Agency for Science Technology and Research (A*STAR),Singapore,Asia-Pacific (excl. China),manual_substring,0.9
Ecole Nationale de la Statistique et de l'Administration Economique,Ecole Nationale de la Statistique et de l'Administration Economique,France,Europe,university_dataset,1.0
Université Paris-Dauphine (Paris IX),Université Paris Dauphine,France,Europe,manual_substring,0.9
"University College London, University of London",University College London,United Kingdom,Europe,manual_substring,0.9
"Department of Automation, Tsinghua University",Tsinghua University,China,China,university_dataset,0.9
Harbin Institute of Technology,Harbin Institute of Technology,China,China,university_dataset,1.0
"UC, Santa Barbara","University of California, Santa Barbara",United States,United States,manual_exact,1.0
UC Santa Barbara,"University of California, Santa Barbara",United States,United States,manual_exact,1.0
University of Milan,University of Milan,Italy,Europe,university_dataset,1.0
Sapienza University of Rome,Sapienza University of Rome,Italy,Europe,manual_substring,0.9
The Hong Kong University of Science and Technology (Guangzhou),The Hong Kong University of Science and Technology,Hong Kong,China,university_dataset,0.95
University of Oxford,University of Oxford,United Kingdom,Europe,manual_substring,0.9
Emory University,Emory University,United States,United States,university_dataset,1.0
"University of Illinois, Urbana Champaign",University of Illinois Urbana-Champaign,United States,United States,university_dataset,0.9620253164556962
"University of California, Los Angeles","University of California, Los Angeles",United States,United States,university_dataset,1.0
University of Warwick,University of Warwick,United Kingdom,Europe,manual_substring,0.9
University of Science and Technology of China,University of Science and Technology of China,China,China,university_dataset,1.0
Beijing Academy of Artificial Intelligence,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,Middle East & Africa,university_dataset,0.855
Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,China,China,university_dataset,1.0
Microsoft Research Asia,Microsoft Research Asia,China,China,manual_substring,0.9
Xi'an University of Electronic Science and Technology,Xi'an University of Electronic Science and Technology,China,China,university_dataset,1.0
Duke University,Duke University,United States,United States,manual_substring,0.9
The University of Texas at Austin,The University of Texas at Austin,United States,United States,university_dataset,1.0
Pontificia Universidad Católica,Pontificia Universidad Católica del Ecuador,Ecuador,Latin America,university_dataset,0.95
University of Antwerp,Engineering Institute of Technology,Australia,Asia-Pacific (excl. China),university_dataset,0.855
Google Research,Google,United States,United States,manual_substring,0.9
University of Copenhagen,University of Copenhagen,Denmark,Europe,university_dataset,1.0
Michigan State University,Michigan State University,United States,United States,university_dataset,1.0
"University of Chinese Academy of Sciences, Chinese Academy of Sciences",Chinese Academy of Sciences,China,China,manual_substring,0.9
Australian National University,Australian National University,Australia,Asia-Pacific (excl. China),manual_substring,0.9
"University of California, Berkeley","University of California, Berkeley",United States,United States,university_dataset,1.0
SUN YAT-SEN UNIVERSITY,Sun Yat-sen University,China,China,manual_substring,0.9
ByteDance,ByteDance,China,China,manual_substring,0.9
Waabi,Waabi,Unknown,Other/Unknown,unknown,0.0
Syracuse University,Syracuse University,United States,United States,university_dataset,1.0
"University of California, Irvine","University of California, Irvine",United States,United States,university_dataset,1.0
Universität zu Köln,Universität Köln,Germany,Europe,university_dataset,0.95
University of Sheffield,University of Sheffield,United Kingdom,Europe,manual_substring,0.9
Centrum voor Wiskunde en Informatica,Universidad de Bologna - Representación en Buenos Aires,Argentina,Latin America,university_dataset,0.855
"Saarland Informatics Campus, Max-Planck Institute",Max Planck Institute,Germany,Europe,manual_substring,0.9
Universität Bremen,Universität Bremen,Germany,Europe,university_dataset,1.0
Brown University,Brown University,United States,United States,manual_substring,0.9
"School of Computer Science, Tel Aviv University",Tel Aviv University,Israel,Middle East & Africa,university_dataset,0.9
Texas A&M University - College Station,Texas A&M University,United States,United States,manual_substring,0.9
nan,Hunan University,China,China,university_dataset,0.9
UT Health,Wake Forest Baptist Health,United States,United States,university_dataset,0.855
University College London,University College London,United Kingdom,Europe,manual_substring,0.9
"University of Texas, Dallas",University of Dallas,United States,United States,university_dataset,0.95
"MIT Lincoln Laboratory, Massachusetts Institute of Technology",Massachusetts Institute of Technology,United States,United States,university_dataset,0.9
Tufts University,Tufts University,United States,United States,manual_substring,0.9
Zoom,Zoom,Unknown,Other/Unknown,unknown,0.0
University of Illinois at Urbana-Champaign,University of Illinois Urbana-Champaign,United States,United States,university_dataset,0.962962962962963
Memorial University of Newfoundland,Memorial University of Newfoundland,Canada,Canada,university_dataset,1.0
Tencent AI Lab,Tencent,China,China,manual_substring,0.9
South China University of Technology,South China University of Technology,China,China,manual_substring,0.9
Tencent,Tencent,China,China,manual_substring,0.9
Tencent TiMi L1 Studio,Tencent,China,China,manual_substring,0.9
Wayve,Wayve,Unknown,Other/Unknown,unknown,0.0
"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",Chinese Academy of Sciences,China,China,manual_substring,0.9
Mila - Quebec AI Institute,Mila - Quebec AI Institute,Canada,Canada,manual_substring,0.9
Haiper Canada Ltd.,First Nations University of Canada,Canada,Canada,university_dataset,0.855
Baidu,Baidu Research,China,China,manual_substring,0.9
VinAI Research,The Scripps Research Institute,United States,United States,university_dataset,0.855
University of Texas at Austin,The University of Texas at Austin,United States,United States,university_dataset,0.95
Vicarious AI,Vicarious AI,Unknown,Other/Unknown,unknown,0.0
Vicarious Inc.,Vicarious Inc.,Unknown,Other/Unknown,unknown,0.0
Université de Montréal,Université de Montréal,Canada,Canada,manual_substring,0.9
University of British Columbia,University of British Columbia,Canada,Canada,university_dataset,1.0
"University of Colorado, Boulder",University of Colorado Boulder,United States,United States,manual_substring,0.9
Simon Fraser University,Simon Fraser University,Canada,Canada,university_dataset,1.0
Mitsubishi Electric Research Labs,Wuhan University of Hydraulic and Electric Engineering,China,China,university_dataset,0.855
Apple,Apple,United States,United States,manual_substring,0.9
Ericsson,Ericsson,Unknown,Other/Unknown,unknown,0.0
"KTH Royal Institute of Technology, Stockholm, Sweden",KTH Royal Institute of Technology,Sweden,Europe,manual_substring,0.9
POSTECH,Pohang University of Science & Technology,South Korea,Asia-Pacific (excl. China),manual_substring,0.9
University of Wisconsin - Madison,University of Wisconsin - Madison,United States,United States,manual_substring,0.9
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,United States,United States,university_dataset,1.0
Honeywell,Honeywell,Unknown,Other/Unknown,unknown,0.0
Baylor University,Baylor University,United States,United States,university_dataset,1.0
Genentech,Genentech,Unknown,Other/Unknown,unknown,0.0
Tianjin University,Tianjin University,China,China,manual_substring,0.9
TU Darmstadt,Evangelische Fachhochschule Darmstadt,Germany,Europe,university_dataset,0.855
University of Alberta,University of Alberta,Canada,Canada,university_dataset,1.0
Tools For Humanity,Modern University For Technology and Information,Egypt,Middle East & Africa,university_dataset,0.855
Cohere,Cohere,Unknown,Other/Unknown,unknown,0.0
UIUC,University of Illinois Urbana-Champaign,United States,United States,manual_exact,1.0
Yahoo Research,Yahoo,United States,United States,manual_substring,0.9
ByteDance Seed,ByteDance,China,China,manual_substring,0.9
CNRS,CNRS,Unknown,Other/Unknown,unknown,0.0
Institute of Science and Technology,Institute of Science and Technology,Austria,Europe,university_dataset,1.0
Sakana AI,Sakana AI,Unknown,Other/Unknown,unknown,0.0
University of Southern California,University of Southern California,United States,United States,manual_substring,0.9
IBM Research,IBM Research,United States,United States,manual_substring,0.9
Infosys Limited,Infosys Limited,Unknown,Other/Unknown,unknown,0.0
University of Twente,University of Twente,Netherlands,Europe,manual_substring,0.9
The Ohio State University,The Ohio State University,United States,United States,manual_substring,0.9
Arizona State University,Arizona State University,United States,United States,manual_substring,0.9
Northwestern University,Northwestern University,United States,United States,manual_substring,0.9
D-Wave Systems,Tomsk State University of Control Systems and Radioelectronics,Russian Federation,Other/Unknown,university_dataset,0.855
OpenAI,OpenAI,United States,United States,manual_substring,0.9
Ben Gurion University of the Negev,Ben-Gurion University of the Negev,Israel,Middle East & Africa,university_dataset,0.9705882352941176
Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Israel,Middle East & Africa,university_dataset,1.0
French National Center for Scientific Research,Kharkiv National University,Ukraine,Other/Unknown,university_dataset,0.855
Texas A&M,Texas A&M International University,United States,United States,university_dataset,0.9
Ecole Normale Supérieure de Lyon,Ecole Normale Supérieure de Lyon,France,Europe,university_dataset,1.0
Institute of Science and Technology Austria,Institute of Science and Technology,Austria,Europe,university_dataset,0.95
A*STAR,Agency for Science Technology and Research (A*STAR),Singapore,Asia-Pacific (excl. China),manual_substring,0.9
Southern University of Science and Technology,University of Science and Technology,Sudan,Other/Unknown,university_dataset,0.95
"Hithink RoyalFlush Information Network Co., Ltd.",Dhirubhai Ambani Institute of Information and Communication Technology,India,Asia-Pacific (excl. China),university_dataset,0.855
Eindhoven University of Technology,Eindhoven University of Technology,Netherlands,Europe,university_dataset,1.0
"University of Wisconsin, Madison",University of Wisconsin - Madison,United States,United States,manual_substring,0.9
"The Chinese University of Hong Kong, Shenzhen",Shenzhen University,China,China,university_dataset,0.9
"Electrical Engineering & Computer Science Department, University of California, Berkeley","University of California, Berkeley",United States,United States,university_dataset,0.9
McMaster University,McMaster University,Canada,Canada,manual_substring,0.9
Huawei Technologies Canada Co. Ltd.,Huawei,China,China,manual_substring,0.9
Galbot,Galbot,Unknown,Other/Unknown,unknown,0.0
"Ben Gurion University of the Negev, Technion",Technion - Israel Institute of Technology,Israel,Middle East & Africa,university_dataset,0.9
University of Utah,University of Utah,United States,United States,manual_substring,0.9
"NEC Laboratories America, Inc.",Central America Health Sciences University (Belize Medical College),Belize,Other/Unknown,university_dataset,0.855
Université Paris Cité,Université M'hamed Bouguerra de Boumerdes,Algeria,Middle East & Africa,university_dataset,0.855
University of Zurich,University Hospital Zurich,Switzerland,Europe,university_dataset,0.8729729729729729
"Max Planck Institute for Intelligent Systems, Max-Planck Institute",Max Planck Institute,Germany,Europe,manual_substring,0.9
Northwest Polytechnical University Xi'an,Northwest Polytechnical University Xi'an,China,China,university_dataset,1.0
Nanjing University of Science and Technology,Nanjing University of Science and Technology,China,China,university_dataset,1.0
New Jersey Institute of Technology,New Jersey Institute of Technology,United States,United States,university_dataset,1.0
"Shanghai Jiao Tong University, Tsinghua University",Tsinghua University,China,China,university_dataset,0.9
Insa toulouse,Insa toulouse,Unknown,Other/Unknown,unknown,0.0
University of Queensland,University of Queensland,Australia,Asia-Pacific (excl. China),manual_substring,0.9
CSIRO,CSIRO,Australia,Asia-Pacific (excl. China),manual_substring,0.9
Queensland University of Technology,Queensland University of Technology,Australia,Asia-Pacific (excl. China),university_dataset,1.0
Advanced Micro Devices,IASE (Institute of Advanced Studies) Deemed University,India,Asia-Pacific (excl. China),university_dataset,0.855
"Institute of Software, Chinese Academy of Sciences",Chinese Academy of Sciences,China,China,manual_substring,0.9
Huawei Technologies Ltd,Huawei,China,China,manual_substring,0.9
eBay Inc.,eBay Inc.,Unknown,Other/Unknown,unknown,0.0
WeChat AI,WeChat AI,Unknown,Other/Unknown,unknown,0.0
"Tencent, Wechat AI",Tencent,China,China,manual_substring,0.9
University of Konstanz,University of Kota,India,Asia-Pacific (excl. China),university_dataset,0.9
"Rheinische Friedrich-Wilhelms-Universität Bonn, Rheinische Friedrich-Wilhelms Universität Bonn",Rheinische Friedrich-Wilhelms Universität Bonn,Germany,Europe,university_dataset,0.9
TU Dresden,Evangelische Hochschule für Soziale Arbeit Dresden (FH),Germany,Europe,university_dataset,0.855
"Ohio State University, Columbus",The Ohio State University,United States,United States,manual_substring,0.9
University of Michigan,University of Michigan - Ann Arbor,United States,United States,manual_substring,0.9
Optum AI,Optum AI,Unknown,Other/Unknown,unknown,0.0
Universita' degli studi di Padova,Libera Università degli Studi di Scienze Umane e Tecnologiche,Switzerland,Europe,university_dataset,0.855
Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science & Technology,"Korea, Republic of",Other/Unknown,university_dataset,0.9591836734693877
Korea Advanced Institute of Science & Technology,Korea Advanced Institute of Science & Technology,"Korea, Republic of",Other/Unknown,university_dataset,1.0
KRAFTON,KRAFTON,Unknown,Other/Unknown,unknown,0.0
Argo AI,Argo AI,Unknown,Other/Unknown,unknown,0.0
Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),Instituto Tecnológico y de Estudios Superiores de Occidente,Mexico,Latin America,university_dataset,0.8983050847457628
Hugging Face,Hugging Face,Unknown,Other/Unknown,unknown,0.0
"GenAI, Meta",Meta AI,United States,United States,manual_substring,0.9
National University of Defense Technology,National University of Defense Technology,China,China,manual_substring,0.9
University of Technology Sydney,University of Technology Sydney,Australia,Asia-Pacific (excl. China),university_dataset,1.0
AstraZeneca,AstraZeneca,Unknown,Other/Unknown,unknown,0.0
University of Guelph,University of Guelph,Canada,Canada,university_dataset,1.0
University of Bath,University of Bath,United Kingdom,Europe,university_dataset,1.0
ENS,École Normale Supérieure,France,Europe,manual_exact,1.0
Kuaishou Technology,Engineering Institute of Technology,Australia,Asia-Pacific (excl. China),university_dataset,0.855
"Institue for Advanced Study, Princeton",Princeton University,United States,United States,university_dataset,0.9
Macquarie University,Macquarie University,Australia,Asia-Pacific (excl. China),university_dataset,1.0
Technical University Munich,Ho Technical University,Ghana,Middle East & Africa,university_dataset,0.883720930232558
CISPA Helmholtz Center for Information Security,Helmholtz Association,Germany,Europe,manual_substring,0.9
Toyota Technological Institute at Chicago,Toyota Technological Institute,Japan,Asia-Pacific (excl. China),university_dataset,0.95
TU Wien Vienna University of Technology,Vienna University of Technology,Austria,Europe,manual_substring,0.9
Aalto University,Aalto University,Finland,Europe,manual_substring,0.9
University of California at Merced,"University of California, Merced",United States,United States,university_dataset,0.9393939393939393
Technion,Technion - Israel Institute of Technology,Israel,Middle East & Africa,university_dataset,0.9
Intel,Intel,United States,United States,manual_substring,0.9
Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Israel,Middle East & Africa,university_dataset,1.0
University of Illinois Urbana Champaign,University of Illinois Urbana-Champaign,United States,United States,university_dataset,0.9743589743589743
"University of Illinois, Urbana-Champaign",University of Illinois Urbana-Champaign,United States,United States,university_dataset,0.9873417721518988
UPSud/INRIA University Paris-Saclay,Inria,France,Europe,manual_substring,0.9
École Polytechnique,École Polytechnique,France,Europe,university_dataset,1.0
Université Paris Saclay,Université Paris-Saclay,France,Europe,university_dataset,0.9565217391304348
"University of California, Merced","University of California, Merced",United States,United States,university_dataset,1.0
National Tsing Hua University,National Tsing Hua University,Taiwan,China,manual_exact,1.0
Max-Planck Institute for Intelligent Systems,Max Planck Institute,Germany,Europe,manual_substring,0.9
University of Tübingen,Engineering Institute of Technology,Australia,Asia-Pacific (excl. China),university_dataset,0.855
"Max Planck Institute for Biological Cybernetics, Max-Planck Institute",Max Planck Institute,Germany,Europe,manual_substring,0.9
"Max-Planck-Institute for Intelligent Systems, Max-Planck Institute",Max Planck Institute,Germany,Europe,manual_substring,0.9
Qualcomm AI Research,Qualcomm,United States,United States,manual_substring,0.9
Voyage AI,Voyage AI,Unknown,Other/Unknown,unknown,0.0
Baidu Research,Baidu Research,China,China,manual_substring,0.9
Department of Electronic Engineering,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,Middle East & Africa,university_dataset,0.855
ETHZ - ETH Zurich,ETHZ - ETH Zurich,Switzerland,Europe,university_dataset,1.0
University Hospital Zurich,University Hospital Zurich,Switzerland,Europe,university_dataset,1.0
Hebrew University of Jerusalem,Hebrew University of Jerusalem,Israel,Middle East & Africa,university_dataset,1.0
"UC San Diego, University of California, San Diego","University of California, San Diego",United States,United States,university_dataset,0.95
